strategy,detection_window_days,triggers_total,success_triggers,wasted_triggers,expired_triggers,baseline_only_triggers,detections_completed,detections_with_additional,detections_baseline_only,success_ratio,wasted_ratio,expired_ratio,additional_builds_total,builds_success,builds_wasted,builds_success_ratio,builds_wasted_ratio,projects,projects_with_success,projects_with_waste,vulnerabilities_total,vulnerabilities_detected_additional,vulnerabilities_detected_baseline,vulnerabilities_wasted
strategy1_median,0,879,115,764,0,4102,752,234,518,0.13083048919226395,0.8691695108077361,0.0,80055.0,2772.0,77283.0,0.03462619449128724,0.9653738055087128,19,19,19,762,234,518,10
strategy2_random,0,858,125,733,0,4230,762,299,463,0.1456876456876457,0.8543123543123543,0.0,117639.0,4526.0,113113.0,0.03847363544402792,0.9615263645559721,19,19,19,762,299,463,0
strategy3_line_proportional,0,433,75,358,0,2673,752,237,515,0.17321016166281755,0.8267898383371824,0.0,79738.0,4609.0,75129.0,0.05780180089794076,0.9421981991020593,19,19,19,762,237,515,10
strategy4_regression,0,463,83,380,0,2300,762,233,529,0.17926565874730022,0.8207343412526998,0.0,40834.0,1595.0,39239.0,0.039060586765930355,0.9609394132340696,19,19,19,762,233,529,0
